CustomerID,Product,Feedback
1,Smartphone,"The battery life is AMAZING and camera is great!"
2,Laptop,"the laptop is very slow and heats up quickly"
3,Headphones, "Comfortable to wear but sound quality is average."
4,Smartwatch,Love the design and features
5,Tablet,Screen resolution is poor. Not happy with it
6,Smartphone,"Excellent performance and smooth UI"
7,Laptop,"Battery drains too fast. Disappointed"
8,Headphones,"Amazing sound quality! Highly recommend."
9,Smartwatch, "The strap broke within a week. bad quality"
10,Tablet,"Good for casual use but not for heavy tasks"
11,Smartphone,
12,Laptop,"   slow start, sometimes freezes   "
13,Headphones,"average sound but very comfy"
14,Smartwatch,"Great battery but not waterproof"
15,Tablet,""
